algoritmo,tamano_mensaje_chars,ber,n,tasa_exito,overhead_pct_prom
CRC32,5,0.0,150,1.0,50.0
CRC32,5,0.001,150,0.9133333333333333,50.0
CRC32,5,0.002,150,0.9066666666666666,50.0
CRC32,5,0.005,150,0.62,50.0
CRC32,5,0.01,150,0.41333333333333333,50.0
CRC32,5,0.02,150,0.18666666666666668,50.0
CRC32,5,0.03,150,0.05333333333333334,50.0
CRC32,5,0.05,150,0.02666666666666667,50.0
CRC32,5,0.08,150,0.0,50.0
CRC32,5,0.1,150,0.0,50.0
CRC32,20,0.0,150,1.0,20.0
CRC32,20,0.001,150,0.8133333333333334,20.0
CRC32,20,0.002,150,0.6333333333333333,20.0
CRC32,20,0.005,150,0.37333333333333335,20.0
CRC32,20,0.01,150,0.14666666666666667,20.0
CRC32,20,0.02,150,0.006666666666666667,20.0
CRC32,20,0.03,150,0.013333333333333334,20.0
CRC32,20,0.05,150,0.0,20.0
CRC32,20,0.08,150,0.0,20.0
CRC32,20,0.1,150,0.0,20.0
CRC32,50,0.0,150,1.0,9.090909090909092
CRC32,50,0.001,150,0.6866666666666666,9.090909090909092
CRC32,50,0.002,150,0.4866666666666667,9.090909090909092
CRC32,50,0.005,150,0.14,9.090909090909092
CRC32,50,0.01,150,0.0,9.090909090909092
CRC32,50,0.02,150,0.0,9.090909090909092
CRC32,50,0.03,150,0.0,9.090909090909092
CRC32,50,0.05,150,0.0,9.090909090909092
CRC32,50,0.08,150,0.0,9.090909090909092
CRC32,50,0.1,150,0.0,9.090909090909092
CRC32,100,0.0,150,1.0,4.761904761904762
CRC32,100,0.001,150,0.38666666666666666,4.761904761904762
CRC32,100,0.002,150,0.18,4.761904761904762
CRC32,100,0.005,150,0.006666666666666667,4.761904761904762
CRC32,100,0.01,150,0.0,4.761904761904762
CRC32,100,0.02,150,0.0,4.761904761904762
CRC32,100,0.03,150,0.0,4.761904761904762
CRC32,100,0.05,150,0.0,4.761904761904762
CRC32,100,0.08,150,0.0,4.761904761904762
CRC32,100,0.1,150,0.0,4.761904761904762
HAMMING,5,0.0,150,1.0,25.925925925925924
HAMMING,5,0.001,150,0.9866666666666667,25.925925925925924
HAMMING,5,0.002,150,0.9866666666666667,25.925925925925924
HAMMING,5,0.005,150,0.9333333333333333,25.925925925925924
HAMMING,5,0.01,150,0.8466666666666667,25.925925925925924
HAMMING,5,0.02,150,0.5733333333333334,25.925925925925924
HAMMING,5,0.03,150,0.46,25.925925925925924
HAMMING,5,0.05,150,0.26,25.925925925925924
HAMMING,5,0.08,150,0.06666666666666667,25.925925925925924
HAMMING,5,0.1,150,0.013333333333333334,25.925925925925924
HAMMING,20,0.0,150,1.0,9.090909090909092
HAMMING,20,0.001,150,0.9666666666666667,9.090909090909092
HAMMING,20,0.002,150,0.94,9.090909090909092
HAMMING,20,0.005,150,0.7933333333333333,9.090909090909092
HAMMING,20,0.01,150,0.4266666666666667,9.090909090909092
HAMMING,20,0.02,150,0.1,9.090909090909092
HAMMING,20,0.03,150,0.05333333333333334,9.090909090909092
HAMMING,20,0.05,150,0.0,9.090909090909092
HAMMING,20,0.08,150,0.0,9.090909090909092
HAMMING,20,0.1,150,0.0,9.090909090909092
HAMMING,50,0.0,150,1.0,4.07673860911271
HAMMING,50,0.001,150,0.94,4.07673860911271
HAMMING,50,0.002,150,0.8066666666666666,4.07673860911271
HAMMING,50,0.005,150,0.3466666666666667,4.07673860911271
HAMMING,50,0.01,150,0.10666666666666667,4.07673860911271
HAMMING,50,0.02,150,0.013333333333333334,4.07673860911271
HAMMING,50,0.03,150,0.0,4.07673860911271
HAMMING,50,0.05,150,0.0,4.07673860911271
HAMMING,50,0.08,150,0.0,4.07673860911271
HAMMING,50,0.1,150,0.0,4.07673860911271
HAMMING,100,0.0,150,1.0,2.2004889975550124
HAMMING,100,0.001,150,0.76,2.2004889975550124
HAMMING,100,0.002,150,0.4866666666666667,2.2004889975550124
HAMMING,100,0.005,150,0.07333333333333333,2.2004889975550124
HAMMING,100,0.01,150,0.0,2.2004889975550124
HAMMING,100,0.02,150,0.0,2.2004889975550124
HAMMING,100,0.03,150,0.0,2.2004889975550124
HAMMING,100,0.05,150,0.0,2.2004889975550124
HAMMING,100,0.08,150,0.0,2.2004889975550124
HAMMING,100,0.1,150,0.0,2.2004889975550124
